Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,USA,Consumer price index (2010 = 100),FP.CPI.TOTL,78.9707207568716,81.2025684592531,82.4904668765521,84.3630788186188,86.6216781201728,89.5605323721102,92.4497050827274,95.0869923788515,98.7374773853446,98.3864199710624,100,103.156841568622,105.291504532867,106.833848874866,108.566932118964,108.695721960693,110.06700893427,112.411557302308,115.157303224791,117.244195476228
United States,USA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,74.5094558322949,76.1437651187907,77.3481790279458,78.7846083499449,80.9056571281351,83.4258216996525,85.9504577962069,88.259326775824,89.976086961448,90.6620196487871,91.7184593270884,93.634369687894,95.4301355169032,97.1048539936834,98.9419722721026,100,101.093525423526,103.015088447013,105.524485119618,..
United States,USA,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,74.5094558322947,76.1437651187905,77.3481790279456,78.7846083499446,80.9056571281348,83.4258216996523,85.9504577962067,88.2593267758237,89.9760869614477,90.6620196487868,91.7184593270881,93.6343696878937,95.4301355169029,97.1048539936831,98.9419722721023,99.9999999999997,101.093525423526,103.015088447012,105.524485119618,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/09/2020,,,,,,,,,,,,,,,,,,,,,,,
